game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
663418,2022-04-07,ARI,SDP,Arizona Diamondbacks,San Diego Padres,0.384,0.616,8.561,4.130409059645303,True,4,2,0.384,,8,9,518516,506433,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662888,2022-04-08,DET,CWS,Detroit Tigers,Chicago White Sox,0.41900000000000004,0.581,8.673,4.364409582062619,True,5,4,0.41900000000000004,,9,9,593958,608337,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661131,2022-04-08,PHI,OAK,Philadelphia Phillies,Oakland Athletics,0.795,0.20499999999999996,8.763,4.221946352098756,True,9,5,0.795,,9,9,605400,593423,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661918,2022-04-08,TBR,BAL,Tampa Bay Rays,Baltimore Orioles,0.599,0.401,7.774,4.119820869892282,True,2,1,0.599,,9,9,663556,607644,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662933,2022-04-08,COL,LAD,Colorado Rockies,Los Angeles Dodgers,0.378,0.622,12.329,5.43127600108851,False,3,5,0.378,,9,9,607536,621111,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662124,2022-04-08,SFG,MIA,San Francisco Giants,Miami Marlins,0.498,0.502,7.354,3.999585478521493,True,6,5,0.498,,9,9,657277,645261,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662559,2022-04-08,WSN,NYM,Washington Nationals,New York Mets,0.322,0.6779999999999999,9.778,4.653247897974059,False,3,7,0.322,,9,9,680686,453286,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661782,2022-04-08,TOR,TEX,Toronto Blue Jays,Texas Rangers,0.539,0.46099999999999997,10.046,4.771360812179267,True,10,8,0.539,,9,9,621244,592351,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661576,2022-04-08,ATL,CIN,Atlanta Braves,Cincinnati Reds,0.678,0.32199999999999995,9.768,4.706184866747162,True,7,6,0.678,,9,9,450203,665665,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661041,2022-04-08,LAA,HOU,Los Angeles Angels,Houston Astros,0.43000000000000005,0.57,8.679,4.490429712176776,False,6,13,0.43000000000000005,,9,9,672282,543606,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663417,2022-04-08,ARI,SDP,Arizona Diamondbacks,San Diego Padres,0.54,0.45999999999999996,8.179,4.105722713481756,False,0,3,0.54,,8,9,518876,640455,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661917,2022-04-09,TBR,BAL,Tampa Bay Rays,Baltimore Orioles,0.588,0.41200000000000003,8.119,3.94928335271097,True,5,3,0.588,,9,9,656876,543475,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662864,2022-04-09,DET,CWS,Detroit Tigers,Chicago White Sox,0.42000000000000004,0.58,7.775,4.170416645852066,False,2,5,0.42000000000000004,,9,9,663554,656302,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661756,2022-04-09,MIN,SEA,Minnesota Twins,Seattle Mariners,0.5660000000000001,0.43399999999999994,7.54,4.095656235574466,False,3,4,0.5660000000000001,,9,9,543243,669302,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662020,2022-04-09,STL,PIT,St. Louis Cardinals,Pittsburgh Pirates,0.719,0.281,8.405,4.376868172563574,True,6,2,0.719,,9,9,571945,656605,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663205,2022-04-09,CHC,MIL,Chicago Cubs,Milwaukee Brewers,0.467,0.5329999999999999,8.244,4.550435583545821,True,9,0,0.467,,9,9,657006,605540,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661803,2022-04-09,TOR,TEX,Toronto Blue Jays,Texas Rangers,0.727,0.273,9.366,4.5031149219179385,True,4,3,0.727,,9,9,592332,641540,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661130,2022-04-09,PHI,OAK,Philadelphia Phillies,Oakland Athletics,0.654,0.346,9.769,4.66257857842632,True,4,2,0.654,,9,9,502043,608344,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662123,2022-04-09,SFG,MIA,San Francisco Giants,Miami Marlins,0.675,0.32499999999999996,7.509,4.094376509311277,False,1,2,0.675,,9,9,607074,641154,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661332,2022-04-09,NYY,BOS,New York Yankees,Boston Red Sox,0.745,0.255,9.776,4.75645077762821,True,4,2,0.745,,9,9,622663,601713,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662765,2022-04-09,KCR,CLE,Kansas City Royals,Cleveland Guardians,0.395,0.605,9.093,4.312580549972371,True,1,0,0.395,,9,9,641745,668676,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662588,2022-04-09,WSN,NYM,Washington Nationals,New York Mets,0.28400000000000003,0.716,10.245,4.700103722259755,False,0,5,0.28400000000000003,,9,9,672851,605135,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661575,2022-04-09,ATL,CIN,Atlanta Braves,Cincinnati Reds,0.8150000000000001,0.18499999999999994,9.801,4.435019616642073,True,2,1,0.8150000000000001,,9,9,657140,661269,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
